trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN002091F050056790,14:55:00,14:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002091F050056790,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002091F060066791,14:55:00,14:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002091F060066791,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002471F080087078,21:55:00,21:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002471F080087078,23:41:00,23:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002443F080087055,16:54:00,16:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002443F080087055,18:41:00,18:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002431F040047043,14:55:00,14:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002431F040047043,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002377F060067007,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002377F060067007,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002069F200206769,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002069F200206769,19:41:00,19:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002421F080087030,12:55:00,12:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002421F080087030,14:43:00,14:43:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002363F23023-491454201,07:20:00,07:20:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002363F23023-491454201,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002421F050057032,12:54:00,12:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
