trip_id;trip_date;time;stop_by_name;stop;stop_position_lon;stop_position_lat
OCESN006910F2302311690;2020-04-23 13:17:00;13:17:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006910F2302311690;2020-04-23 14:20:00;14:20:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006910F2302311690;2020-04-23 16:25:00;16:25:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006908F0800811686;2020-04-23 10:19:00;10:19:00;Grenoble;87747006;5.71452957;45.1914627
OCESN006908F0800811686;2020-04-23 11:21:00;11:21:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006908F0800811686;2020-04-23 13:21:00;13:21:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006949F0700711814;2020-04-23 17:46:00;17:46:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006949F0700711814;2020-04-23 19:23:00;19:23:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
OCESN006949F0700711814;2020-04-23 20:50:00;20:50:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006949F0700711814;2020-04-23 21:28:00;21:28:00;Annecy;87746008;6.12181945;45.90205904
OCESN006933F0300311776;2020-04-23 07:45:00;07:45:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006933F0300311776;2020-04-23 09:23:00;09:23:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
OCESN006933F0300311776;2020-04-23 10:51:00;10:51:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006933F0300311776;2020-04-23 11:28:00;11:28:00;Annecy;87746008;6.12181945;45.90205904
OCESN006937F0700711780;2020-04-23 09:47:00;09:47:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006937F0700711780;2020-04-23 11:24:00;11:24:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
OCESN006937F0700711780;2020-04-23 12:51:00;12:51:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006937F0700711780;2020-04-23 13:29:00;13:29:00;Annecy;87746008;6.12181945;45.90205904
OCESN006964F1901911844;2020-04-23 09:32:00;09:32:00;Annecy;87746008;6.12181945;45.90205904
OCESN006964F1901911844;2020-04-23 09:57:00;09:57:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006964F1901911844;2020-04-23 10:10:00;10:10:00;Chamb̩ry-Chal.-les-Eaux;87741009;5.91980053;45.57103797
OCESN006964F1901911844;2020-04-23 11:35:00;11:35:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
OCESN006964F1901911844;2020-04-23 13:16:00;13:16:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006960F1201211838;2020-04-23 05:32:00;05:32:00;Annecy;87746008;6.12181945;45.90205904
OCESN006960F1201211838;2020-04-23 05:57:00;05:57:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006960F1201211838;2020-04-23 06:10:00;06:10:00;Chamb̩ry-Chal.-les-Eaux;87741009;5.91980053;45.57103797
OCESN006960F1201211838;2020-04-23 07:33:00;07:33:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
OCESN006960F1201211838;2020-04-23 09:17:00;09:17:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006976F1801811863;2020-04-23 14:32:00;14:32:00;Annecy;87746008;6.12181945;45.90205904
OCESN006976F1801811863;2020-04-23 15:11:00;15:11:00;Chamb̩ry-Chal.-les-Eaux;87741009;5.91980053;45.57103797
OCESN006976F1801811863;2020-04-23 15:45:00;15:45:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006976F1801811863;2020-04-23 18:47:00;18:47:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006984F0600611874;2020-04-23 18:32:00;18:32:00;Annecy;87746008;6.12181945;45.90205904
OCESN006984F0600611874;2020-04-23 18:58:00;18:58:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006984F0600611874;2020-04-23 20:34:00;20:34:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
OCESN006984F0600611874;2020-04-23 22:17:00;22:17:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006941F5805811801;2020-04-23 12:45:00;12:45:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006941F5805811801;2020-04-23 14:22:00;14:22:00;M̢con-Loch̩-TGV;87725705;4.77894838;46.28289775
